user_id,mean_events_per_session,mean_session_duration,mean_session_closed,mean_session_accepted,mean_nb_topics,active_days,mean_events,time_var,weekend_ratio,commit_time_CLOZE_MATH_x,commit_time_CLOZE_TEXT_x,commit_time_CLOZE_TEXT_DROPDOWN_x,commit_time_DND_GROUP_x,commit_time_DND_IN_TEXT_x,commit_time_DND_ORDER_x,commit_time_DND_PAIRS_x,commit_time_FIX_TEXT_x,commit_time_GRAPH_CLICK_POINTS_x,commit_time_GRAPH_SELECT_SHAPE_x,commit_time_GRAPH_SOLUTION_FIELD_x,commit_time_HIGHLIGHT_x,commit_time_MATH_STEP_BY_STEP_x,commit_time_MULTIPLE_CHOICE_x,commit_time_MULTI_COLOR_HIGHLIGHT_x,commit_time_OPEN_TASK_x,commit_time_SEPARATE_TEXT_x,commit_time_SOLUTION_FIELD_x,commit_time_CLOZE_MATH_y,commit_time_CLOZE_TEXT_y,commit_time_CLOZE_TEXT_DROPDOWN_y,commit_time_DND_GROUP_y,commit_time_DND_IN_TEXT_y,commit_time_DND_ORDER_y,commit_time_DND_PAIRS_y,commit_time_FIX_TEXT_y,commit_time_GRAPH_CLICK_POINTS_y,commit_time_GRAPH_SELECT_SHAPE_y,commit_time_GRAPH_SOLUTION_FIELD_y,commit_time_HIGHLIGHT_y,commit_time_MATH_STEP_BY_STEP_y,commit_time_MULTIPLE_CHOICE_y,commit_time_MULTI_COLOR_HIGHLIGHT_y,commit_time_OPEN_TASK_y,commit_time_SEPARATE_TEXT_y,commit_time_SOLUTION_FIELD_y,task_type_diversity,preferred_task_type
389338,8.666666666666666,6719.144355555556,1.0,,1.0,13,1.0909090909090908,9.273086050020462,0.029239766081871343,,0 days 00:09:24.154000128,2 days 23:29:10.958999808,,,,,,,,,0 days 00:01:32.453999872,,17 days 07:25:04.115000064,0 days 00:26:05.282000128,,,,,0 days 00:09:24.154000128,2 days 23:29:10.958999808,,,,,,,,,0 days 00:01:32.453999872,,17 days 07:25:04.115000064,0 days 00:26:05.282000128,,,,8,CLOZE_TEXT
389352,10.5,10799.66975595238,1.0,1.0,1.0,8,0.8803827751196173,9.305605571961367,0.0,,0 days 00:05:56.055000064,0 days 00:01:29.810999808,,,,51 days 22:18:47.810000128,0 days 00:01:12.291000064,,,,0 days 00:03:08.661999872,,,0 days 00:01:25.919500032,,,,,0 days 00:05:56.055000064,0 days 00:01:29.810999808,,,,51 days 22:18:47.810000128,0 days 00:01:12.291000064,,,,0 days 00:03:08.661999872,,,0 days 00:01:25.919500032,,,,8,CLOZE_TEXT_DROPDOWN
389354,21.0,6726.786711111112,1.0,1.0,1.0,10,0.7799043062200957,7.493088060400891,0.0,,3 days 00:29:24.622000128,2 days 23:50:49.353000064,,,,,,,,,2 days 23:10:36.616000,,0 days 00:01:10.378000128,0 days 00:01:02.902000128,,,,,3 days 00:29:24.622000128,2 days 23:50:49.353000064,,,,,,,,,2 days 23:10:36.616000,,0 days 00:01:10.378000128,0 days 00:01:02.902000128,,,,9,CLOZE_TEXT_DROPDOWN
389366,15.5,5.6242833333333335,1.0,1.0,1.0,1,0.18181818181818182,4.552721463836004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,CLOZE_TEXT_DROPDOWN
389367,15.692307692307692,28453.080996153843,0.8461538461538461,1.0,1.0,12,1.1403508771929824,10.836104684475853,0.0,0 days 00:07:34.968999936,0 days 00:02:13.193999872,0 days 00:01:30.332999936,,,,0 days 00:08:24.540000,0 days 00:03:26.876500096,,,,0 days 00:08:36.563500032,0 days 00:03:00.039000064,0 days 00:04:15.520000,,,0 days 00:01:28.561999872,16 days 20:50:07.108000,0 days 00:07:34.968999936,0 days 00:02:13.193999872,0 days 00:01:30.332999936,,,,0 days 00:08:24.540000,0 days 00:03:26.876500096,,,,0 days 00:08:36.563500032,0 days 00:03:00.039000064,0 days 00:04:15.520000,,,0 days 00:01:28.561999872,16 days 20:50:07.108000,12,MULTIPLE_CHOICE
389368,16.6,599.6864466666667,1.0,1.0,1.0,11,0.9457735247208932,8.987580737202476,0.0,0 days 00:02:59.300999936,,41 days 20:54:48.640000,,,,0 days 00:12:28.954999808,,,,,,0 days 00:01:02.356999936,0 days 00:04:23.264499968,,,,0 days 00:04:43.037000064,0 days 00:02:59.300999936,,41 days 20:54:48.640000,,,,0 days 00:12:28.954999808,,,,,,0 days 00:01:02.356999936,0 days 00:04:23.264499968,,,,0 days 00:04:43.037000064,9,CLOZE_MATH
389369,11.909090909090908,49895.77232878788,1.0,1.0,1.0,7,1.0909090909090908,12.210207468533339,0.0891812865497076,,0 days 00:00:37.533999872,0 days 00:00:58.922499968,,,,,0 days 00:00:40.488999936,,,,,0 days 00:02:43.035000064,0 days 00:01:17.244500096,,,,,,0 days 00:00:37.533999872,0 days 00:00:58.922499968,,,,,0 days 00:00:40.488999936,,,,,0 days 00:02:43.035000064,0 days 00:01:17.244500096,,,,,9,MULTIPLE_CHOICE
389370,20.818181818181817,61552.96131363636,0.9090909090909091,0.8571428571428571,1.0,14,1.6140350877192982,14.652884465146187,0.0,0 days 00:05:26.252000,0 days 00:02:31.316000,0 days 00:02:34.702499968,,,134 days 03:46:12.016999936,0 days 05:59:37.178000128,0 days 00:05:22.106000128,,189 days 14:40:31.434999936,0 days 00:03:58.404999936,0 days 00:10:15.070000128,0 days 00:07:27.508000,0 days 00:05:14.202000128,,,0 days 00:01:40.166000128,0 days 00:24:16.196000,0 days 00:05:26.252000,0 days 00:02:31.316000,0 days 00:02:34.702499968,,,134 days 03:46:12.016999936,0 days 05:59:37.178000128,0 days 00:05:22.106000128,,189 days 14:40:31.434999936,0 days 00:03:58.404999936,0 days 00:10:15.070000128,0 days 00:07:27.508000,0 days 00:05:14.202000128,,,0 days 00:01:40.166000128,0 days 00:24:16.196000,16,MULTIPLE_CHOICE
389372,16.25,46125.91624583333,0.75,1.0,1.0,12,0.9106858054226475,8.076214278290108,0.03852889667250438,0 days 00:05:08.632000128,,157 days 11:19:31.641000064,,,,3 days 07:33:58.780500096,,,,,,0 days 00:02:17.564000,0 days 00:08:51.483500032,,,,0 days 00:11:33.906999936,0 days 00:05:08.632000128,,157 days 11:19:31.641000064,,,,3 days 07:33:58.780500096,,,,,,0 days 00:02:17.564000,0 days 00:08:51.483500032,,,,0 days 00:11:33.906999936,7,CLOZE_MATH
389375,15.833333333333334,12.508386111111113,1.0,1.0,1.0,8,0.7320574162679426,8.415050570954131,0.0,0 days 00:05:05.592499968,,157 days 11:22:22.980000,,,,1 days 00:05:55.575000064,,,,,,,0 days 00:05:36.957500032,,,,0 days 23:57:50.990499968,0 days 00:05:05.592499968,,157 days 11:22:22.980000,,,,1 days 00:05:55.575000064,,,,,,,0 days 00:05:36.957500032,,,,0 days 23:57:50.990499968,7,MULTIPLE_CHOICE
